"","Row","view","time","name"
"339",94,16946,"2016-01-02","Bernie_Sanders"
"340",95,22220,"2016-01-03","Bernie_Sanders"
"341",96,17690,"2016-01-04","Bernie_Sanders"
"342",97,18988,"2016-01-05","Bernie_Sanders"
"343",98,25492,"2016-01-06","Bernie_Sanders"
"344",99,21674,"2016-01-07","Bernie_Sanders"
"345",100,21280,"2016-01-08","Bernie_Sanders"
"346",101,19365,"2016-01-09","Bernie_Sanders"
"347",102,24682,"2016-01-10","Bernie_Sanders"
"348",103,27955,"2016-01-11","Bernie_Sanders"
"349",104,45235,"2016-01-12","Bernie_Sanders"
"350",105,69156,"2016-01-13","Bernie_Sanders"
"351",106,43567,"2016-01-14","Bernie_Sanders"
"352",107,47570,"2016-01-15","Bernie_Sanders"
"353",108,43793,"2016-01-16","Bernie_Sanders"
"354",109,59486,"2016-01-17","Bernie_Sanders"
"355",110,189584,"2016-01-18","Bernie_Sanders"
"356",111,73815,"2016-01-19","Bernie_Sanders"
"357",112,69782,"2016-01-20","Bernie_Sanders"
"358",113,69142,"2016-01-21","Bernie_Sanders"
"359",114,69790,"2016-01-22","Bernie_Sanders"
"360",115,53173,"2016-01-23","Bernie_Sanders"
"361",116,58002,"2016-01-24","Bernie_Sanders"
"362",117,60987,"2016-01-25","Bernie_Sanders"
"363",118,128745,"2016-01-26","Bernie_Sanders"
"364",119,99325,"2016-01-27","Bernie_Sanders"
"365",120,77363,"2016-01-28","Bernie_Sanders"
"366",121,68714,"2016-01-29","Bernie_Sanders"
"367",122,57176,"2016-01-30","Bernie_Sanders"
"368",123,79527,"2016-01-31","Bernie_Sanders"
"369",124,120816,"2016-02-01","Bernie_Sanders"
"370",125,364027,"2016-02-02","Bernie_Sanders"
"371",126,146082,"2016-02-03","Bernie_Sanders"
"372",127,156164,"2016-02-04","Bernie_Sanders"
"373",128,165792,"2016-02-05","Bernie_Sanders"
"374",129,92760,"2016-02-06","Bernie_Sanders"
"375",130,131056,"2016-02-07","Bernie_Sanders"
"376",131,88444,"2016-02-08","Bernie_Sanders"
"377",132,109239,"2016-02-09","Bernie_Sanders"
"378",133,486363,"2016-02-10","Bernie_Sanders"
"379",134,180750,"2016-02-11","Bernie_Sanders"
"380",135,197445,"2016-02-12","Bernie_Sanders"
"381",136,96372,"2016-02-13","Bernie_Sanders"
"382",137,83235,"2016-02-14","Bernie_Sanders"
"383",138,73128,"2016-02-15","Bernie_Sanders"
"384",139,92194,"2016-02-16","Bernie_Sanders"
"385",140,88622,"2016-02-17","Bernie_Sanders"
"386",141,78440,"2016-02-18","Bernie_Sanders"
"387",142,83242,"2016-02-19","Bernie_Sanders"
"388",143,94459,"2016-02-20","Bernie_Sanders"
"389",144,100633,"2016-02-21","Bernie_Sanders"
"390",145,74901,"2016-02-22","Bernie_Sanders"
"391",146,62154,"2016-02-23","Bernie_Sanders"
"392",147,77337,"2016-02-24","Bernie_Sanders"
"393",148,63510,"2016-02-25","Bernie_Sanders"
"394",149,62841,"2016-02-26","Bernie_Sanders"
"395",150,55263,"2016-02-27","Bernie_Sanders"
"396",151,66937,"2016-02-28","Bernie_Sanders"
"397",152,52275,"2016-02-29","Bernie_Sanders"
"398",153,79813,"2016-03-01","Bernie_Sanders"
"399",154,145964,"2016-03-02","Bernie_Sanders"
"400",155,73108,"2016-03-03","Bernie_Sanders"
"401",156,64233,"2016-03-04","Bernie_Sanders"
"402",157,54079,"2016-03-05","Bernie_Sanders"
"403",158,71074,"2016-03-06","Bernie_Sanders"
"404",159,127054,"2016-03-07","Bernie_Sanders"
"405",160,67400,"2016-03-08","Bernie_Sanders"
"406",161,101248,"2016-03-09","Bernie_Sanders"
"407",162,97565,"2016-03-10","Bernie_Sanders"
"408",163,60323,"2016-03-11","Bernie_Sanders"
"409",164,59066,"2016-03-12","Bernie_Sanders"
"410",165,71072,"2016-03-13","Bernie_Sanders"
"411",166,89893,"2016-03-14","Bernie_Sanders"
"412",167,92523,"2016-03-15","Bernie_Sanders"
"413",168,89328,"2016-03-16","Bernie_Sanders"
"414",169,45121,"2016-03-17","Bernie_Sanders"
"415",170,39614,"2016-03-18","Bernie_Sanders"
"416",171,34379,"2016-03-19","Bernie_Sanders"
"417",172,36607,"2016-03-20","Bernie_Sanders"
"418",173,36092,"2016-03-21","Bernie_Sanders"
"419",174,39926,"2016-03-22","Bernie_Sanders"
"420",175,44304,"2016-03-23","Bernie_Sanders"
